Acronim_Departament,Any,Kind,Cont
FIS,2016,Presentacions en congressos,213
FIS,2017,Presentacions en congressos,211
FIS,2018,Presentacions en congressos,188
FIS,2019,Presentacions en congressos,152
FIS,2020,Presentacions en congressos,80
FIS,2021,Presentacions en congressos,86
MAT,2013,Presentacions en congressos,0
MAT,2014,Presentacions en congressos,0
MAT,2015,Presentacions en congressos,41
MAT,2016,Presentacions en congressos,232
MAT,2017,Presentacions en congressos,182
MAT,2018,Presentacions en congressos,151
MAT,2019,Presentacions en congressos,111
MAT,2020,Presentacions en congressos,61
MAT,2021,Presentacions en congressos,89
TSC,2013,Presentacions en congressos,221
TSC,2014,Presentacions en congressos,217
TSC,2015,Presentacions en congressos,168
TSC,2016,Presentacions en congressos,186
TSC,2017,Presentacions en congressos,169
TSC,2018,Presentacions en congressos,177
TSC,2019,Presentacions en congressos,138
TSC,2020,Presentacions en congressos,100
TSC,2021,Presentacions en congressos,98
AC,2013,Premis de reconeixement,19
AC,2014,Premis de reconeixement,6
AC,2015,Premis de reconeixement,17
AC,2016,Premis de reconeixement,11
AC,2017,Premis de reconeixement,7
AC,2018,Premis de reconeixement,11
AC,2019,Premis de reconeixement,13
AC,2020,Premis de reconeixement,5
AC,2021,Premis de reconeixement,6
CEM,2013,Premis de reconeixement,3
CEM,2014,Premis de reconeixement,5
CEM,2015,Premis de reconeixement,4
CEM,2016,Premis de reconeixement,4
CEM,2017,Premis de reconeixement,3
CEM,2018,Premis de reconeixement,5
CEM,2019,Premis de reconeixement,13
CEM,2020,Premis de reconeixement,7
CEM,2021,Premis de reconeixement,5
CS,2013,Premis de reconeixement,10
CS,2014,Premis de reconeixement,6
CS,2015,Premis de reconeixement,10
CS,2016,Premis de reconeixement,5
CS,2017,Premis de reconeixement,2
CS,2018,Premis de reconeixement,2
CS,2019,Premis de reconeixement,3
CS,2020,Premis de reconeixement,4
CS,2021,Premis de reconeixement,2
DECA,2013,Premis de reconeixement,0
DECA,2014,Premis de reconeixement,0
DECA,2015,Premis de reconeixement,3
DECA,2016,Premis de reconeixement,21
DECA,2017,Premis de reconeixement,17
DECA,2018,Premis de reconeixement,15
DECA,2019,Premis de reconeixement,16
DECA,2020,Premis de reconeixement,14
DECA,2021,Premis de reconeixement,15
EEL,2013,Premis de reconeixement,12
EEL,2014,Premis de reconeixement,8
EEL,2015,Premis de reconeixement,7
EEL,2016,Premis de reconeixement,11
EEL,2017,Premis de reconeixement,7
EEL,2018,Premis de reconeixement,8
EEL,2019,Premis de reconeixement,14
EEL,2020,Premis de reconeixement,6
EEL,2021,Premis de reconeixement,10
EQ,2013,Premis de reconeixement,5
EQ,2014,Premis de reconeixement,3
EQ,2015,Premis de reconeixement,3
EQ,2016,Premis de reconeixement,7
EQ,2017,Premis de reconeixement,1
EQ,2018,Premis de reconeixement,10
EQ,2019,Premis de reconeixement,5
EQ,2020,Premis de reconeixement,4
EQ,2021,Premis de reconeixement,3
ESAII,2013,Premis de reconeixement,4
ESAII,2014,Premis de reconeixement,8
ESAII,2015,Premis de reconeixement,6
ESAII,2016,Premis de reconeixement,5
ESAII,2017,Premis de reconeixement,4
ESAII,2018,Premis de reconeixement,9
ESAII,2019,Premis de reconeixement,6
ESAII,2020,Premis de reconeixement,2
ESAII,2021,Premis de reconeixement,3
FIS,2013,Premis de reconeixement,0
FIS,2014,Premis de reconeixement,0
FIS,2015,Premis de reconeixement,3
FIS,2016,Premis de reconeixement,11
FIS,2017,Premis de reconeixement,3
FIS,2018,Premis de reconeixement,14
FIS,2019,Premis de reconeixement,4
FIS,2020,Premis de reconeixement,10
FIS,2021,Premis de reconeixement,18
MAT,2013,Premis de reconeixement,0
MAT,2014,Premis de reconeixement,0
MAT,2015,Premis de reconeixement,4
MAT,2016,Premis de reconeixement,6
MAT,2017,Premis de reconeixement,7
MAT,2018,Premis de reconeixement,3
MAT,2019,Premis de reconeixement,9
MAT,2020,Premis de reconeixement,5
MAT,2021,Premis de reconeixement,14
TSC,2013,Premis de reconeixement,10
TSC,2014,Premis de reconeixement,9
TSC,2015,Premis de reconeixement,13
TSC,2016,Premis de reconeixement,8
TSC,2017,Premis de reconeixement,7
TSC,2018,Premis de reconeixement,4
TSC,2019,Premis de reconeixement,7
TSC,2020,Premis de reconeixement,8
TSC,2021,Premis de reconeixement,6
AC,2013,Tesis doctorals,21
AC,2014,Tesis doctorals,29
AC,2015,Tesis doctorals,25
AC,2016,Tesis doctorals,32
AC,2017,Tesis doctorals,23
AC,2018,Tesis doctorals,18
AC,2019,Tesis doctorals,24
AC,2020,Tesis doctorals,14
AC,2021,Tesis doctorals,12
CEM,2013,Tesis doctorals,12
CEM,2014,Tesis doctorals,10
CEM,2015,Tesis doctorals,10
CEM,2016,Tesis doctorals,17
CEM,2017,Tesis doctorals,12
CEM,2018,Tesis doctorals,13
CEM,2019,Tesis doctorals,13
CEM,2020,Tesis doctorals,8
CEM,2021,Tesis doctorals,9
CS,2013,Tesis doctorals,12
CS,2014,Tesis doctorals,14
CS,2015,Tesis doctorals,9
CS,2016,Tesis doctorals,13
CS,2017,Tesis doctorals,10
CS,2018,Tesis doctorals,10
CS,2019,Tesis doctorals,8
CS,2020,Tesis doctorals,9
CS,2021,Tesis doctorals,1
DECA,2013,Tesis doctorals,0
DECA,2014,Tesis doctorals,0
DECA,2015,Tesis doctorals,19
DECA,2016,Tesis doctorals,52
DECA,2017,Tesis doctorals,37
DECA,2018,Tesis doctorals,48
DECA,2019,Tesis doctorals,46
DECA,2020,Tesis doctorals,59
DECA,2021,Tesis doctorals,57
EEL,2013,Tesis doctorals,10
EEL,2014,Tesis doctorals,16
EEL,2015,Tesis doctorals,23
EEL,2016,Tesis doctorals,24
EEL,2017,Tesis doctorals,23
EEL,2018,Tesis doctorals,11
EEL,2019,Tesis doctorals,19
EEL,2020,Tesis doctorals,12
EEL,2021,Tesis doctorals,10
